lemma,count,distinct_hymns,upos_breakdown
_,7036,0,{'_': 7036}
tvad,4619,864,{'PRON': 4619}
mad,4330,873,"{'PRON': 4104, 'VERB': 226}"
tad,3341,856,{'PRON': 3341}
yad,3000,785,{'PRON': 3000}
indra,2576,539,{'NOUN': 2576}
ā,2384,806,{'ADV': 2384}
idam,2181,736,{'PRON': 2181}
su,2097,750,"{'ADV': 1596, 'VERB': 501}"
na,2085,646,{'PART': 2085}
deva,1915,645,"{'NOUN': 1863, 'ADJ': 52}"
agni,1840,409,{'NOUN': 1840}
as,1373,599,{'VERB': 1373}
viśva,1314,622,"{'ADJ': 1307, 'NOUN': 7}"
kṛ,1177,568,{'VERB': 1177}
soma,1137,412,{'NOUN': 1137}
pra,1110,565,{'ADV': 1110}
ca,1084,489,{'CCONJ': 1084}
yat,1038,462,"{'SCONJ': 995, 'VERB': 43}"
vi,1024,526,"{'ADV': 945, 'NOUN': 79}"
iva,1010,468,{'PART': 1010}
div,975,515,{'NOUN': 975}
dhā,968,543,"{'VERB': 934, 'ADJ': 34}"
bhū,854,465,"{'VERB': 825, 'NOUN': 29}"
cit,825,435,"{'VERB': 172, 'PART': 639, 'NOUN': 12, 'ADJ': 2}"
hi,808,479,"{'PART': 660, 'VERB': 148}"
id,796,413,{'PART': 796}
pā,787,437,"{'VERB': 701, 'ADJ': 86}"
abhi,752,441,{'ADV': 752}
uta,742,410,{'CCONJ': 742}
u,688,387,"{'PART': 687, 'VERB': 1}"
vid,684,403,"{'ADJ': 103, 'VERB': 579, 'NOUN': 2}"
sam,627,372,{'ADV': 627}
go,613,358,"{'ADV': 13, 'NOUN': 600}"
pū,606,161,{'VERB': 606}
i,600,374,{'VERB': 600}
yā,574,307,"{'VERB': 554, 'ADJ': 20}"
gam,573,327,"{'VERB': 568, 'NOUN': 5}"
ap,547,332,"{'NOUN': 539, 'ADV': 8}"
ratha,540,307,{'NOUN': 540}
jan,535,318,{'VERB': 535}
vasu,527,338,"{'NOUN': 392, 'ADJ': 135}"
